Trial,PersonaType,PersonaDesc,Age,Gender,DialogueFile,PersonaSwitch,HasName,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19
0,IHRTS,慎重な現実主義者 (ISTP),30-39,Male,ItoI_noname.txt,あり,なし,3,2,1,0,1,1,2,0,1,2,0,0,2,1,3,1,2,0,1
1,IHRTS,慎重な現実主義者 (ISTP),60-69,Female,ItoE_noname.txt,なし,なし,4,2,1,0,1,2,2,0,1,2,0,1,2,1,2,1,2,0,1
2,IHRTS,慎重な現実主義者 (ISTP),50-59,Female,ItoI_noname.txt,あり,なし,3,2,1,0,2,2,2,0,1,2,0,1,2,1,3,1,2,0,1
3,IHRTS,慎重な現実主義者 (ISTP),60-69,Female,ItoE_noname.txt,なし,なし,2,1,0,0,1,1,2,0,0,2,0,0,2,1,3,0,1,0,1
4,IHRTS,慎重な現実主義者 (ISTP),30-39,Male,ItoE_noname.txt,なし,なし,3,2,1,0,1,1,2,0,0,2,0,1,2,1,3,0,2,0,1
5,IHRTS,慎重な現実主義者 (ISTP),80-89,Female,ItoI_name.txt,あり,あり,3,2,0,0,1,1,2,0,0,2,0,0,1,0,2,0,1,0,0
6,IHRTS,慎重な現実主義者 (ISTP),50-59,Male,ItoE_noname.txt,なし,なし,3,2,1,0,2,2,2,0,1,2,0,1,2,1,3,1,2,0,1
7,IHRTS,慎重な現実主義者 (ISTP),70-79,Female,ItoI_name.txt,あり,あり,2,1,0,0,1,1,2,0,0,1,0,0,1,0,2,0,1,0,1
8,IHRTS,慎重な現実主義者 (ISTP),60-69,Female,ItoI_name.txt,あり,あり,2,1,1,0,1,2,1,0,0,2,0,1,1,1,2,0,2,0,1
9,IHRTS,慎重な現実主義者 (ISTP),50-59,Female,ItoE_name.txt,なし,あり,3,2,1,0,2,2,3,0,1,2,0,1,2,1,2,1,2,0,1
10,IHRTS,慎重な現実主義者 (ISTP),40-49,Male,ItoI_name.txt,あり,あり,2,1,0,0,1,1,2,0,0,2,0,0,1,1,2,0,1,0,1
11,IHRTS,慎重な現実主義者 (ISTP),80-89,Female,ItoE_name.txt,なし,あり,3,2,1,0,2,2,4,0,1,2,0,1,2,1,3,1,2,0,2
12,IHRTS,慎重な現実主義者 (ISTP),30-39,Male,ItoI_noname.txt,あり,なし,3,2,1,0,1,1,2,0,1,3,0,1,2,1,2,1,2,0,1
13,IHRTS,慎重な現実主義者 (ISTP),40-49,Male,ItoI_noname.txt,あり,なし,3,1,0,0,1,1,2,0,0,2,0,0,1,0,2,0,1,0,1
14,IHRTS,慎重な現実主義者 (ISTP),40-49,Male,ItoE_noname.txt,なし,なし,3,2,1,0,1,1,1,0,0,3,0,1,1,0,2,0,1,0,1
15,EACNO,万能リーダー (ENFJ),50-59,Female,ItoI_noname.txt,あり,なし,5,3,1,0,3,2,4,1,1,6,0,1,4,2,5,1,2,0,3
17,EACNO,万能リーダー (ENFJ),60-69,Female,ItoE_name.txt,なし,あり,6,4,2,1,5,5,6,1,3,4,1,2,6,2,6,2,5,1,4
